id,case_number,title,fir_id,status,case_priority,assigned_officer,officer,district,opened_at,updated_at,summary,crime_type
11,202500001,Cybercrime — Vijayapura,11,closed,low,44,Kavya Shetty,Vijayapura,2025-11-21 00:00:00,2026-06-05 00:00:00,Investigation into cybercrime in Vijayapura. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
12,202600001,Assault — Hubballi-Dharwad,12,under_investigation,low,21,Praveen Reddy,Hubballi-Dharwad,2026-07-11 00:00:00,2026-06-13 00:00:00,Investigation into assault in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Assault
13,202600001,Vehicle Theft — Kalaburagi,13,under_investigation,medium,31,Chetan Murthy,Kalaburagi,2026-03-22 00:00:00,2026-06-26 00:00:00,Investigation into vehicle theft in Kalaburagi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
14,202600001,Assault — Kalaburagi,14,charge_sheeted,medium,35,Deepak Kumar,Kalaburagi,2026-04-13 00:00:00,2026-05-30 00:00:00,Investigation into assault in Kalaburagi. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Assault
15,202600001,Vehicle Theft — Vijayapura,15,charge_sheeted,medium,45,Imran Kulkarni,Vijayapura,2026-04-08 00:00:00,2026-07-07 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
16,202500001,Robbery — Belagavi,16,charge_sheeted,high,29,Anil Rao,Belagavi,2025-02-28 00:00:00,2026-06-06 00:00:00,Investigation into robbery in Belagavi. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Robbery
17,202600001,Vehicle Theft — Ballari,17,registered,medium,38,Nisha Murthy,Ballari,2026-02-17 00:00:00,2026-06-06 00:00:00,Investigation into vehicle theft in Ballari. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
18,202600001,Attempt to Murder — Belagavi,18,charge_sheeted,high,27,Ramesh Bhat,Belagavi,2026-01-21 00:00:00,2026-07-12 00:00:00,Investigation into attempt to murder in Belagavi. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Attempt to Murder
19,202600001,Burglary — Ballari,19,registered,medium,39,Ramesh Kumar,Ballari,2026-06-26 00:00:00,2026-06-27 00:00:00,Investigation into burglary in Ballari. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
20,202500002,Chain Snatching — Mysuru,20,charge_sheeted,medium,9,Suresh Murthy,Mysuru,2025-04-01 00:00:00,2026-07-14 00:00:00,Investigation into chain snatching in Mysuru. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
21,202500002,Vehicle Theft — Vijayapura,21,registered,low,45,Imran Kulkarni,Vijayapura,2025-07-16 00:00:00,2026-06-21 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
22,202600002,Vehicle Theft — Belagavi,22,under_investigation,low,26,Ganesh Kumar,Belagavi,2026-03-18 00:00:00,2026-05-23 00:00:00,Investigation into vehicle theft in Belagavi. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
23,202600001,Cheating & Fraud — Mysuru,23,under_investigation,medium,11,Riyaz Reddy,Mysuru,2026-05-19 00:00:00,2026-05-24 00:00:00,Investigation into cheating & fraud in Mysuru. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
24,202600001,Vehicle Theft — Bengaluru Urban,24,charge_sheeted,medium,5,Deepak Hebbar,Bengaluru Urban,2026-06-20 00:00:00,2026-06-19 00:00:00,Investigation into vehicle theft in Bengaluru Urban. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
25,202500001,Vehicle Theft — Vijayapura,25,under_investigation,medium,47,Mahesh Shetty,Vijayapura,2025-04-14 00:00:00,2026-06-20 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
26,202500002,Vehicle Theft — Vijayapura,26,registered,medium,46,Mahesh Desai,Vijayapura,2025-04-20 00:00:00,2026-06-08 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
27,202500001,Robbery — Ballari,27,under_investigation,high,40,Deepak Naik,Ballari,2025-07-11 00:00:00,2026-06-23 00:00:00,Investigation into robbery in Ballari. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
28,202600001,Attempt to Murder — Hubballi-Dharwad,28,charge_sheeted,high,23,Naveen Kulkarni,Hubballi-Dharwad,2026-05-26 00:00:00,2026-06-06 00:00:00,Investigation into attempt to murder in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Attempt to Murder
29,202500001,Rioting — Ballari,29,charge_sheeted,low,42,Riyaz Bhat,Ballari,2025-08-11 00:00:00,2026-07-03 00:00:00,Investigation into rioting in Ballari. Modus operandi communal. AI has linked this record to related incidents in the region.,Rioting
30,202500001,Burglary — Belagavi,30,charge_sheeted,medium,26,Ganesh Kumar,Belagavi,2025-06-17 00:00:00,2026-06-25 00:00:00,Investigation into burglary in Belagavi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
31,202600001,Rioting — Dakshina Kannada,31,charge_sheeted,low,16,Imran Murthy,Dakshina Kannada,2026-05-19 00:00:00,2026-06-09 00:00:00,Investigation into rioting in Dakshina Kannada. Modus operandi communal. AI has linked this record to related incidents in the region.,Rioting
32,202600002,Burglary — Belagavi,32,under_investigation,medium,30,Lokesh Naik,Belagavi,2026-03-05 00:00:00,2026-07-10 00:00:00,Investigation into burglary in Belagavi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
33,202600002,Cybercrime — Shivamogga,33,closed,medium,51,Anil Naik,Shivamogga,2026-01-29 00:00:00,2026-06-12 00:00:00,Investigation into cybercrime in Shivamogga. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
34,202600003,Extortion — Belagavi,34,charge_sheeted,high,29,Anil Rao,Belagavi,2026-03-20 00:00:00,2026-07-10 00:00:00,Investigation into extortion in Belagavi. Modus operandi threat call. AI has linked this record to related incidents in the region.,Extortion
35,202600004,Rioting — Tumakuru,35,registered,low,55,Naveen Bhat,Tumakuru,2026-06-28 00:00:00,2026-06-21 00:00:00,Investigation into rioting in Tumakuru. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
36,202600001,House Theft — Mandya,36,under_investigation,medium,69,Lakshmi Poojary,Mandya,2026-01-17 00:00:00,2026-05-22 00:00:00,Investigation into house theft in Mandya. Modus operandi insider info. AI has linked this record to related incidents in the region.,House Theft
37,202500001,Robbery — Shivamogga,37,charge_sheeted,high,50,Divya Gowda,Shivamogga,2025-02-06 00:00:00,2026-05-26 00:00:00,Investigation into robbery in Shivamogga. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
38,202600001,Chain Snatching — Dakshina Kannada,38,charge_sheeted,medium,13,Rekha Rao,Dakshina Kannada,2026-03-25 00:00:00,2026-07-05 00:00:00,Investigation into chain snatching in Dakshina Kannada. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
39,202500002,Vehicle Theft — Belagavi,39,registered,medium,27,Ramesh Bhat,Belagavi,2025-02-20 00:00:00,2026-06-22 00:00:00,Investigation into vehicle theft in Belagavi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
40,202500003,Assault — Vijayapura,40,charge_sheeted,medium,43,Kiran Bhat,Vijayapura,2025-09-23 00:00:00,2026-06-27 00:00:00,Investigation into assault in Vijayapura. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Assault
41,202500003,Kidnapping — Mysuru,41,charge_sheeted,high,8,Abdul Patil,Mysuru,2025-12-21 00:00:00,2026-05-25 00:00:00,Investigation into kidnapping in Mysuru. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Kidnapping
42,202600001,Cheating & Fraud — Vijayapura,42,under_investigation,medium,47,Mahesh Shetty,Vijayapura,2026-06-29 00:00:00,2026-07-07 00:00:00,Investigation into cheating & fraud in Vijayapura. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
43,202600001,Chain Snatching — Hubballi-Dharwad,43,under_investigation,low,21,Praveen Reddy,Hubballi-Dharwad,2026-01-26 00:00:00,2026-07-09 00:00:00,Investigation into chain snatching in Hubballi-Dharwad. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
44,202600002,Murder — Hubballi-Dharwad,44,closed,critical,20,Ganesh Kumar,Hubballi-Dharwad,2026-03-10 00:00:00,2026-06-06 00:00:00,Investigation into murder in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
45,202500001,Cybercrime — Udupi,45,under_investigation,low,62,Abdul Naik,Udupi,2025-02-09 00:00:00,2026-05-30 00:00:00,Investigation into cybercrime in Udupi. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
46,202600002,Vehicle Theft — Kalaburagi,46,under_investigation,low,35,Deepak Kumar,Kalaburagi,2026-07-02 00:00:00,2026-06-20 00:00:00,Investigation into vehicle theft in Kalaburagi. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
47,202500001,Cybercrime — Kalaburagi,47,under_investigation,medium,35,Deepak Kumar,Kalaburagi,2025-10-21 00:00:00,2026-06-27 00:00:00,Investigation into cybercrime in Kalaburagi. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
48,202600001,Chain Snatching — Kalaburagi,48,under_investigation,low,32,Prakash Hebbar,Kalaburagi,2026-05-08 00:00:00,2026-05-16 00:00:00,Investigation into chain snatching in Kalaburagi. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
49,202600003,Chain Snatching — Hubballi-Dharwad,49,charge_sheeted,medium,21,Praveen Reddy,Hubballi-Dharwad,2026-06-25 00:00:00,2026-06-28 00:00:00,Investigation into chain snatching in Hubballi-Dharwad. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
50,202600003,Robbery — Kalaburagi,50,registered,high,35,Deepak Kumar,Kalaburagi,2026-03-26 00:00:00,2026-05-18 00:00:00,Investigation into robbery in Kalaburagi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
51,202500001,Burglary — Mandya,51,charge_sheeted,low,67,Ganesh Rai,Mandya,2025-06-04 00:00:00,2026-06-18 00:00:00,Investigation into burglary in Mandya. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
52,202600002,Rioting — Kalaburagi,52,charge_sheeted,low,33,Pooja Patil,Kalaburagi,2026-02-09 00:00:00,2026-06-05 00:00:00,Investigation into rioting in Kalaburagi. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
53,202600002,House Theft — Vijayapura,53,charge_sheeted,medium,43,Kiran Bhat,Vijayapura,2026-03-29 00:00:00,2026-06-04 00:00:00,Investigation into house theft in Vijayapura. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
54,202500002,House Theft — Udupi,54,under_investigation,medium,65,Darshan Naik,Udupi,2025-07-02 00:00:00,2026-06-15 00:00:00,Investigation into house theft in Udupi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
55,202500001,Chain Snatching — Udupi,55,under_investigation,medium,64,Chetan Shastri,Udupi,2025-11-11 00:00:00,2026-07-10 00:00:00,Investigation into chain snatching in Udupi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
56,202600002,Burglary — Mysuru,56,under_investigation,low,9,Suresh Murthy,Mysuru,2026-05-02 00:00:00,2026-05-22 00:00:00,Investigation into burglary in Mysuru. Modus operandi cctv blindspot. AI has linked this record to related incidents in the region.,Burglary
57,202500002,Robbery — Kalaburagi,57,under_investigation,high,31,Chetan Murthy,Kalaburagi,2025-03-25 00:00:00,2026-06-01 00:00:00,Investigation into robbery in Kalaburagi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
58,202500002,Cheating & Fraud — Udupi,58,under_investigation,low,61,Imran Shetty,Udupi,2025-11-23 00:00:00,2026-06-03 00:00:00,Investigation into cheating & fraud in Udupi. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
59,202500001,Dacoity — Hubballi-Dharwad,59,under_investigation,critical,21,Praveen Reddy,Hubballi-Dharwad,2025-05-17 00:00:00,2026-05-29 00:00:00,Investigation into dacoity in Hubballi-Dharwad. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Dacoity
60,202600002,Robbery — Mandya,60,under_investigation,high,67,Ganesh Rai,Mandya,2026-03-06 00:00:00,2026-06-02 00:00:00,Investigation into robbery in Mandya. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
61,202600003,House Theft — Vijayapura,61,closed,medium,45,Imran Kulkarni,Vijayapura,2026-04-15 00:00:00,2026-07-07 00:00:00,Investigation into house theft in Vijayapura. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
62,202600004,Murder — Hubballi-Dharwad,62,closed,critical,21,Praveen Reddy,Hubballi-Dharwad,2026-04-10 00:00:00,2026-06-02 00:00:00,Investigation into murder in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
63,202600001,Cheating & Fraud — Bengaluru Urban,63,under_investigation,medium,2,Nagaraj Murthy,Bengaluru Urban,2026-02-01 00:00:00,2026-05-29 00:00:00,Investigation into cheating & fraud in Bengaluru Urban. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
64,202600001,Vehicle Theft — Udupi,64,under_investigation,medium,66,Kavya Murthy,Udupi,2026-06-02 00:00:00,2026-05-16 00:00:00,Investigation into vehicle theft in Udupi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
65,202600003,Robbery — Shivamogga,65,under_investigation,high,50,Divya Gowda,Shivamogga,2026-03-27 00:00:00,2026-06-24 00:00:00,Investigation into robbery in Shivamogga. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
66,202500001,Cybercrime — Vijayapura,66,under_investigation,medium,46,Mahesh Desai,Vijayapura,2025-12-05 00:00:00,2026-06-15 00:00:00,Investigation into cybercrime in Vijayapura. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
67,202500003,Rioting — Udupi,67,charge_sheeted,medium,61,Imran Shetty,Udupi,2025-03-22 00:00:00,2026-05-25 00:00:00,Investigation into rioting in Udupi. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
68,202600004,Vehicle Theft — Shivamogga,68,closed,medium,51,Anil Naik,Shivamogga,2026-07-11 00:00:00,2026-05-29 00:00:00,Investigation into vehicle theft in Shivamogga. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
69,202500004,Vehicle Theft — Mysuru,69,charge_sheeted,low,7,Umesh Naik,Mysuru,2025-03-13 00:00:00,2026-06-15 00:00:00,Investigation into vehicle theft in Mysuru. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
70,202500003,Cheating & Fraud — Belagavi,70,registered,low,26,Ganesh Kumar,Belagavi,2025-07-02 00:00:00,2026-05-27 00:00:00,Investigation into cheating & fraud in Belagavi. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
71,202500002,House Theft — Shivamogga,71,charge_sheeted,medium,52,Ravi Shastri,Shivamogga,2025-12-20 00:00:00,2026-06-30 00:00:00,Investigation into house theft in Shivamogga. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
72,202600001,House Theft — Udupi,72,closed,low,61,Imran Shetty,Udupi,2026-04-09 00:00:00,2026-07-15 00:00:00,Investigation into house theft in Udupi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
73,202600003,Murder — Mysuru,73,charge_sheeted,critical,9,Suresh Murthy,Mysuru,2026-04-18 00:00:00,2026-06-02 00:00:00,Investigation into murder in Mysuru. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
74,202600002,Attempt to Murder — Dakshina Kannada,74,closed,high,15,Divya Reddy,Dakshina Kannada,2026-06-05 00:00:00,2026-06-14 00:00:00,Investigation into attempt to murder in Dakshina Kannada. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Attempt to Murder
75,202600002,House Theft — Bengaluru Urban,75,charge_sheeted,medium,2,Nagaraj Murthy,Bengaluru Urban,2026-04-09 00:00:00,2026-05-19 00:00:00,Investigation into house theft in Bengaluru Urban. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
76,202600005,Cheating & Fraud — Tumakuru,76,under_investigation,low,56,Suresh Murthy,Tumakuru,2026-01-11 00:00:00,2026-05-16 00:00:00,Investigation into cheating & fraud in Tumakuru. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
77,202500001,Rioting — Dakshina Kannada,77,closed,medium,14,Santosh Patil,Dakshina Kannada,2025-12-28 00:00:00,2026-05-19 00:00:00,Investigation into rioting in Dakshina Kannada. Modus operandi communal. AI has linked this record to related incidents in the region.,Rioting
78,202600001,Cybercrime — Bengaluru Urban,78,charge_sheeted,low,4,Chetan Kumar,Bengaluru Urban,2026-02-22 00:00:00,2026-06-28 00:00:00,Investigation into cybercrime in Bengaluru Urban. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
79,202500004,Burglary — Belagavi,79,charge_sheeted,medium,26,Ganesh Kumar,Belagavi,2025-07-02 00:00:00,2026-05-22 00:00:00,Investigation into burglary in Belagavi. Modus operandi cctv blindspot. AI has linked this record to related incidents in the region.,Burglary
80,202500001,Vehicle Theft — Bengaluru Urban,80,closed,medium,1,Darshan Shastri,Bengaluru Urban,2025-07-22 00:00:00,2026-05-17 00:00:00,Investigation into vehicle theft in Bengaluru Urban. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
81,202500001,Cheating & Fraud — Ballari,81,under_investigation,medium,38,Nisha Murthy,Ballari,2025-07-27 00:00:00,2026-07-09 00:00:00,Investigation into cheating & fraud in Ballari. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
82,202500001,Cybercrime — Tumakuru,82,under_investigation,medium,58,Ramesh Murthy,Tumakuru,2025-06-30 00:00:00,2026-06-17 00:00:00,Investigation into cybercrime in Tumakuru. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
83,202500004,Drug Trafficking — Udupi,83,registered,high,61,Imran Shetty,Udupi,2025-12-25 00:00:00,2026-06-08 00:00:00,Investigation into drug trafficking in Udupi. Modus operandi drug courier. AI has linked this record to related incidents in the region.,Drug Trafficking
84,202500001,House Theft — Mandya,84,under_investigation,medium,72,Harish Hegde,Mandya,2025-10-23 00:00:00,2026-05-23 00:00:00,Investigation into house theft in Mandya. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
85,202500005,Robbery — Udupi,85,under_investigation,high,63,Darshan Kulkarni,Udupi,2025-12-31 00:00:00,2026-06-10 00:00:00,Investigation into robbery in Udupi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
86,202600001,Robbery — Bengaluru Urban,86,under_investigation,high,4,Chetan Kumar,Bengaluru Urban,2026-01-26 00:00:00,2026-05-29 00:00:00,Investigation into robbery in Bengaluru Urban. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
87,202500003,Vehicle Theft — Vijayapura,87,charge_sheeted,medium,46,Mahesh Desai,Vijayapura,2025-10-10 00:00:00,2026-06-13 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
88,202500002,House Theft — Belagavi,88,under_investigation,low,30,Lokesh Naik,Belagavi,2025-07-23 00:00:00,2026-05-24 00:00:00,Investigation into house theft in Belagavi. Modus operandi insider info. AI has linked this record to related incidents in the region.,House Theft
89,202600003,Robbery — Dakshina Kannada,89,under_investigation,high,15,Divya Reddy,Dakshina Kannada,2026-05-01 00:00:00,2026-05-20 00:00:00,Investigation into robbery in Dakshina Kannada. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
90,202600001,Cybercrime — Ballari,90,charge_sheeted,medium,41,Kiran Desai,Ballari,2026-04-15 00:00:00,2026-07-13 00:00:00,Investigation into cybercrime in Ballari. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
91,202500002,Cybercrime — Hubballi-Dharwad,91,under_investigation,low,19,Naveen Hebbar,Hubballi-Dharwad,2025-12-23 00:00:00,2026-07-14 00:00:00,Investigation into cybercrime in Hubballi-Dharwad. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
92,202500001,Chain Snatching — Tumakuru,92,under_investigation,medium,57,Chetan Achar,Tumakuru,2025-04-13 00:00:00,2026-06-07 00:00:00,Investigation into chain snatching in Tumakuru. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
93,202500002,Robbery — Dakshina Kannada,93,under_investigation,high,14,Santosh Patil,Dakshina Kannada,2025-03-10 00:00:00,2026-05-20 00:00:00,Investigation into robbery in Dakshina Kannada. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Robbery
94,202600004,Vehicle Theft — Mysuru,94,under_investigation,medium,8,Abdul Patil,Mysuru,2026-07-05 00:00:00,2026-06-11 00:00:00,Investigation into vehicle theft in Mysuru. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
95,202500002,Vehicle Theft — Bengaluru Urban,95,registered,low,2,Nagaraj Murthy,Bengaluru Urban,2025-03-07 00:00:00,2026-07-14 00:00:00,Investigation into vehicle theft in Bengaluru Urban. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
96,202600002,Cybercrime — Hubballi-Dharwad,96,under_investigation,medium,22,Darshan Shetty,Hubballi-Dharwad,2026-07-11 00:00:00,2026-06-05 00:00:00,Investigation into cybercrime in Hubballi-Dharwad. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
97,202600005,Robbery — Hubballi-Dharwad,97,under_investigation,high,21,Praveen Reddy,Hubballi-Dharwad,2026-01-22 00:00:00,2026-06-20 00:00:00,Investigation into robbery in Hubballi-Dharwad. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
98,202500003,Murder — Bengaluru Urban,98,under_investigation,critical,3,Kumar Gowda,Bengaluru Urban,2025-11-09 00:00:00,2026-05-29 00:00:00,Investigation into murder in Bengaluru Urban. Modus operandi premeditated. AI has linked this record to related incidents in the region.,Murder
99,202500001,Cheating & Fraud — Dakshina Kannada,99,charge_sheeted,medium,18,Manjunath Shetty,Dakshina Kannada,2025-11-16 00:00:00,2026-05-26 00:00:00,Investigation into cheating & fraud in Dakshina Kannada. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
100,202600001,Chain Snatching — Tumakuru,100,charge_sheeted,medium,59,Abdul Shastri,Tumakuru,2026-01-28 00:00:00,2026-05-23 00:00:00,Investigation into chain snatching in Tumakuru. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
101,202500004,Burglary — Bengaluru Urban,101,under_investigation,low,2,Nagaraj Murthy,Bengaluru Urban,2025-12-22 00:00:00,2026-07-06 00:00:00,Investigation into burglary in Bengaluru Urban. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
102,202600003,House Theft — Kalaburagi,102,charge_sheeted,medium,33,Pooja Patil,Kalaburagi,2026-06-10 00:00:00,2026-07-15 00:00:00,Investigation into house theft in Kalaburagi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
103,202600001,Chain Snatching — Vijayapura,103,under_investigation,low,48,Suresh Kumar,Vijayapura,2026-04-10 00:00:00,2026-06-23 00:00:00,Investigation into chain snatching in Vijayapura. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
104,202600004,Cybercrime — Dakshina Kannada,104,closed,medium,13,Rekha Rao,Dakshina Kannada,2026-02-16 00:00:00,2026-05-20 00:00:00,Investigation into cybercrime in Dakshina Kannada. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
105,202500001,House Theft — Dakshina Kannada,105,closed,medium,16,Imran Murthy,Dakshina Kannada,2025-04-21 00:00:00,2026-07-01 00:00:00,Investigation into house theft in Dakshina Kannada. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
106,202600005,Murder — Mysuru,106,under_investigation,critical,8,Abdul Patil,Mysuru,2026-03-05 00:00:00,2026-05-24 00:00:00,Investigation into murder in Mysuru. Modus operandi premeditated. AI has linked this record to related incidents in the region.,Murder
107,202600004,Attempt to Murder — Vijayapura,107,charge_sheeted,high,43,Kiran Bhat,Vijayapura,2026-01-19 00:00:00,2026-06-21 00:00:00,Investigation into attempt to murder in Vijayapura. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Attempt to Murder
